spec,coef,beta,se,p,irr,ci_lo,ci_hi,n_obs,theta
SWH lag-1 | week-year FE,swh_core_lag1:post_mou,1.35463341061885,0.530432280073016,0.0106545527022546,3.87534003769602,0.314986141675735,2.39428067956196,2681,0.132692071322704
SWH lag-1 | month-year FE,swh_core_lag1:post_mou,1.3943278533359,0.359240575953803,0.000103890769357996,4.03226338919201,0.690216324466449,2.09843938220536,4143,0.0648168944202037
SWH lag-2 | week-year FE,swh_core_lag2:post_mou,1.37979546906044,0.552304392828918,0.0124807490630984,3.97408872026538,0.297278859115757,2.46231207900512,2681,0.131597991939628
SWH lag-2 | month-year FE,swh_core_lag2:post_mou,1.18233951509738,0.401590591408147,0.00323851926273261,3.26199677355269,0.395221955937411,1.96945707425735,4143,0.0637660321298347
SWH lag-3 | week-year FE,swh_core_lag3:post_mou,-0.587894324291213,0.476049729695633,0.21685168500935,0.555495748003317,-1.52095179449465,0.345163145912227,2681,0.130480481319806
SWH lag-3 | month-year FE,swh_core_lag3:post_mou,0.963817253082687,0.31014841806582,0.00188613102439408,2.62168503213665,0.355926353673681,1.57170815249169,4143,0.0626602661665347
SWH lag-7 | week-year FE,swh_core_lag7:post_mou,-0.896536207516645,0.594837756644409,0.131760804329428,0.407980374473049,-2.06241821053969,0.269345795506397,2681,0.131197025222302
SWH lag-7 | month-year FE,swh_core_lag7:post_mou,-0.491090758112122,0.31305631564381,0.116718368137989,0.611958531279916,-1.10468113677399,0.122499620549745,4143,0.0628818316981623
Wind lag-0 | week-year FE,wind_core:post_mou,0.131726211202082,0.143892697364645,0.359956747602409,1.14079593935722,-0.150303475632621,0.413755898036786,2681,0.133578373699597
SWH lag-1 | week-year (clustered SE),swh_core_lag1:post_mou,1.35463341061885,0.83653453097074,0.105374235872217,3.87534003769602,-0.284974270083803,2.9942410913215,2681,0.132692071322704
SWH lag-1 | week-year [2014-2021],swh_core_lag1:post_mou,0.973613884802082,0.58893008717154,0.098292009643295,2.64749493350702,-0.180689086054135,2.1279168556583,1521,0.110964867707992
All incidents (unfiltered),swh_core_lag1:post_mou,1.10148803124591,0.50401000526908,0.0288559604664885,3.00863964447606,0.113628420918513,2.08934764157331,2751,0.140610609439665
