k,beta,se,p,model,ci_lo,ci_hi
3,0.147593278507509,0.309414371844386,0.633356084758829,Baseline,-0.458858890307489,0.754045447322507
2,-0.0690285681146557,0.343651402160226,0.840801793957691,Baseline,-0.742585316348699,0.604528180119387
1,-0.851038263136111,0.42395424808818,0.0447089696270437,Baseline,-1.68198858938894,-0.0200879368832777
0,-0.481544627837406,0.436597929929567,0.270049932482554,Baseline,-1.33727657049936,0.374187314824545
-1,-0.670531464557974,0.367664831260367,0.0681887535767857,Baseline,-1.39115453382829,0.0500916047123456
-2,-0.4286201313885,0.351388463009742,0.222544495277084,Baseline,-1.11734151888759,0.260101256110593
-3,-0.0869694789227892,0.320310373855811,0.785993985559129,Baseline,-0.714777811680179,0.540838853834601
3,0.581481688791362,0.661273953710974,0.379219371648557,Baseline (with interaction model),-0.714615260482147,1.87757863806487
2,0.366033462304129,0.783572830329875,0.64040405405695,Baseline (with interaction model),-1.16976928514243,1.90183620975068
1,-1.86103409663229,0.79428714710715,0.0191281365971943,Baseline (with interaction model),-3.41783690496231,-0.30423128830228
0,-0.140532140660752,1.1234243412464,0.900450193063654,Baseline (with interaction model),-2.34244384950369,2.06137956818219
-1,-0.532903940801112,1.03505015860078,0.606652193697157,Baseline (with interaction model),-2.56160225165864,1.49579437005641
-2,-1.81077815531144,1.14110604209437,0.112543835672777,Baseline (with interaction model),-4.0473459978164,0.425789687193525
-3,0.585689911168982,0.819693868079526,0.474903997905862,Baseline (with interaction model),-1.02091007026689,2.19228989260485
3,-0.563000158733491,0.732151598341848,0.441913111428234,Interaction (SWH x Post),-1.99801729148351,0.872016974016531
2,-0.622779402514256,0.862498656433778,0.470255007183573,Interaction (SWH x Post),-2.31327676912446,1.06771796409595
1,1.3397768710516,0.906107433892244,0.139245358183353,Interaction (SWH x Post),-0.436193699377199,3.1157474414804
0,-0.470560519342316,1.19935268387034,0.694803016168165,Interaction (SWH x Post),-2.82129177972818,1.88017074104355
-1,-0.131244760091847,1.09578236955215,0.904663246736372,Interaction (SWH x Post),-2.27897820441406,2.01648868423037
-2,1.67126502420534,1.18953020356714,0.160027505892239,Interaction (SWH x Post),-0.660214174786266,4.00274422319694
-3,-0.830881904003225,0.881281440231078,0.345777544741472,Interaction (SWH x Post),-2.55819352685614,0.896429718849688
