spec,fe,sample,weather_var,beta,se,p,irr,ci_lo,ci_hi,n_obs,loglik
SWH only,week-year,Full,swh_mean,0.710678113125524,0.454514196041048,0.117911681616771,2.0353710025748,-0.18016971111493,1.60152593736598,3218,-5129.13833308081
Wind only,week-year,Full,wind_mean,0.150848516654064,0.107681646895488,0.161251484858848,1.16282049679983,-0.060207511261092,0.36190454456922,3218,-5125.62441868628
Gust only,week-year,Full,gust_mean,0.139176288735693,0.0840967690837822,0.0979338187180701,1.14932669549548,-0.0256533786685197,0.304005956139906,3218,-5125.67437562812
SWH + Wind ctrl,week-year,Full,swh_mean,0.657342343203068,0.45181314572914,0.145697317076602,1.92965714720897,-0.228211422426047,1.54289610883218,3218,-5125.32704933452
Wind + SWH ctrl,week-year,Full,wind_mean,0.152192293645438,0.107966720122327,0.158651246111904,1.16438411857272,-0.0594224777943225,0.363807065085198,3218,-5125.52186588088
SWH lag1 + Wind,week-year,Full,swh_mean_lag1,0.504909048138523,0.524313119202299,0.335551816666953,1.65683482139661,-0.522744665497983,1.53256276177503,3218,-5124.82517786389
SWH prev3d + Wind,week-year,Full,swh_mean_prev3d,-0.0367577075516426,0.567642272717739,0.948369025865315,0.963909655088203,-1.14933656207841,1.07582114697512,3218,-5131.66986567137
SWH prev7d + Wind,week-year,Full,swh_mean_prev7d,-2.29965433271861,1.26169943597957,0.0683542728585803,0.100293505915196,-4.77258522723857,0.173276561801352,3218,-5136.23231018847
SWH core day0,week-year,Full,swh_core,0.937334490192056,0.421665821448802,0.0262203788231761,2.5531668489361,0.110869480152405,1.76379950023171,3218,-5123.80290347585
SWH core lag1,week-year,Full,swh_core_lag1,0.573515080089212,0.516623911332328,0.266946866579921,1.77449358871611,-0.439067786122151,1.58609794630057,3218,-5123.61140787732
SWH core prev3d,week-year,Full,swh_core_prev3d,0.263257694636177,0.538222701121365,0.624753839832116,1.30116197821519,-0.791658799561699,1.31817418883405,3218,-5130.65078331409
SWH core prev7d,week-year,Full,swh_core_prev7d,-1.43098208116025,1.14799759425811,0.212579904876292,0.239074016826712,-3.68105736590615,0.819093203585657,3218,-5136.17952815122
SWH + Wind ctrl,quarter-year,Full,swh_mean,-0.139518748427131,0.265098767844238,0.598686945111085,0.869776716106151,-0.659112333401838,0.380074836547577,4383,-5787.25111956181
SWH + Wind ctrl,year+month,Full,swh_mean,-0.412589062042723,0.333128432172188,0.215520156068688,0.661934240849871,-1.06552078910021,0.240342665014766,4383,-5843.99259317149
SWH + Wind ctrl,week-year+DOW,Full,swh_mean,0.643875192616091,0.456931369522418,0.158797060258499,1.90384436625526,-0.251710291647848,1.53946067688003,3218,-5121.47619158087
Wind + SWH ctrl,quarter-year,Full,wind_mean,-0.0135111827224659,0.0800997169776831,0.86604871966318,0.986579683609252,-0.170506627998725,0.143484262553793,4383,-5787.35174032249
SWH + Wind (Poisson),week-year,Full,swh_mean,-0.686575053214733,0.60691162551222,0.257945530793651,0.503296885581732,-1.87612183921868,0.502971732789218,3218,-28533.6559111545
Wind + SWH (Poisson),week-year,Full,wind_mean,-0.200988708272618,0.160931517834395,0.211698615681968,0.817921667250202,-0.516414483228033,0.114437066682797,3218,-28508.4335993063
SWH + Wind ctrl,week-year,2014-2021,swh_mean,0.763181682549496,0.49419750181609,0.12251935699232,2.14509037111727,-0.205445421010041,1.73180878610903,1925,-3002.22606762737
Wind + SWH ctrl,week-year,2014-2021,wind_mean,0.160010047056188,0.12131162814116,0.187169086183455,1.1735226613807,-0.0777607441004852,0.397780838212861,1925,-3002.55650437725
