spec,coef,beta,se,p,irr,n
Incident-loc | grid+yr+mo,swh_day0:post_mou,-0.203691649070554,0.20437715655815,0.31893643245311,0.815713858538563,1207
Corridor | grid+yr+mo,swh_corridor:post_mou,-0.35520344523262,0.257885114581862,0.168397613584709,0.701030807324099,1355
Core | grid+yr+mo,swh_core_geo:post_mou,-0.414602699778664,0.264507007754257,0.117008493373317,0.660602686168087,1355
Core | yr+mo (no grid),swh_core_geo:post_mou,-0.393297050123853,0.298623387324619,0.187827345040486,0.674828259991965,1381
Inc-loc | grid+quarter,swh_day0:post_mou,-0.0595818347357019,0.219584674034583,0.786130492572166,0.942158429150324,1206
Inc-loc | grid+yr×mo,swh_day0:post_mou,0.112770372532048,0.233143103820549,0.628601675678781,1.11937486421894,1200
Inc-loc | grid+half-yr,swh_day0:post_mou,-0.161737448908102,0.201468291982436,0.422094060573323,0.85066451812141,1207
Inc-loc | grid+mo only,swh_day0:post_mou,-0.0444107272062376,0.226708163640891,0.844693277916826,0.956560991154099,1207
Inc-loc | no FE,swh_day0:post_mou,-0.0804397847024721,0.257394173895559,0.754648443530759,0.922710463196044,1232
Core | grid+quarter,swh_core_geo:post_mou,-0.365578295034339,0.314377853406884,0.244885192988338,0.693795316457957,1355
Core | grid+yr×mo,swh_core_geo:post_mou,-0.208779384079918,0.412735970661129,0.61296723943773,0.81157426209719,1348
Core | quarter (no grid),swh_core_geo:post_mou,-0.253793384619323,0.30791756982679,0.409811677214484,0.775852088461693,1381
