"variable","label","r_crossings","p_crossings","r_deaths","p_deaths","r_rate","p_rate"
"wave_height_central_med","Wave height",-0.519348572090759,3.36050777744432e-10,-0.226929038954394,0.00999735878126805,-0.0125367360683013,0.888303585682704
"wave_period_central_med","Wave period",-0.47859735577102,1.10311251544575e-08,-0.20165606372231,0.022453970525579,0.00566390765617005,0.949406822603235
"wave_direction_central_med","Wave direction",-0.192298763379426,0.0296595018687754,-0.093901556228209,0.291752597339851,-0.0471475013270742,0.597170073188655
"wind_speed_central_med","Wind speed",-0.366257330147492,2.12073833270925e-05,-0.219316558900399,0.012871567022768,-0.116822659059375,0.189104310460793
"sst_central_med","SST",0.36415029844532,2.3841959241628e-05,0.194557550500184,0.0277609505088558,0.049396383784828,0.579775810820228
"sst_anomaly_central_med","SST anomaly",0.225765726277732,0.0103962619332234,0.129908132723175,0.143871214092335,0.0581676295742882,0.514279640962924
"cloud_cover_central_med","Cloud cover",-0.397879146748865,3.30606417732778e-06,-0.173545812834339,0.0501036351544389,0.0199843235572023,0.822834175961771
"low_cloud_central_med","Low cloud",-0.373464327268732,1.41199214937627e-05,-0.182261061547224,0.0394845980593698,-0.00331782804592129,0.970350407486771
"dewpoint_depression_central_med","Dewpoint dep.",0.00680873664481409,0.939198506495863,0.00382414658581767,0.965828272321708,-0.0601494436418267,0.500026141045458
"temperature_central_med","Air temp.",0.426868295818692,5.04333391805181e-07,0.222364334467703,0.0116439838538804,0.0490881306566708,0.582146097717627
"wind_speed_departure_coast","Wind (coast)",-0.0925199835695812,0.298941680091929,-0.072946717327782,0.413189991097323,-0.100861622875562,0.257291379712587
"cloud_cover_departure_coast","Cloud (coast)",-0.390867233531248,5.07664278407157e-06,-0.184756029806581,0.0368177132392286,0.00906722637304176,0.919090283599584
"temperature_departure_coast","Temp. (coast)",0.447438992122834,1.18928524822376e-07,0.237110322226887,0.00704258506792056,0.0525503677473493,0.555784458948528
"precipitation_departure_coast","Precip. (coast)",-0.405173299043106,2.0940677748236e-06,-0.149475291400631,0.0921807145835805,0.0565380373593163,0.526154356362181
"wave_max_central_med","Wave max",-0.488263063222131,5.02069195392464e-09,-0.210041236523695,0.0173294100782286,0.011076584348141,0.901242660425307
"wave_sd_central_med","Wave SD",-0.478025492498121,1.15482309778123e-08,-0.224425019806137,0.010873292597894,-0.0021194617300659,0.981056993440448
"wave_days_above_2m","Days >2m waves",-0.498311111032435,2.15753522478784e-09,-0.215419203700872,0.0146051460949709,-0.00643650478082208,0.942516655603853
"current_speed_central_med","Current speed",-0.31162316312551,0.000342788439708072,-0.171906895554289,0.052343810359467,-0.0621264483799111,0.486016347261064
"current_against_route","Current (opposing)",-0.0730437059012145,0.412567505345594,-0.0259437415550292,0.771288803710704,-0.0242201988207848,0.786104933232214
